gene_symbol,human_gene_id,ensembl_gene_id,uniprot_id,synonyms,description,curated_gene_list,curation_evidence,sub_mito_location,pathways,targetp_score,mito_domain_score,coexpression_gnf_n50_score,pgc_induction_score,yeast_mito_homolog_score,rickettsia_homolog_score,msms_score
COX5A,9377,ENSG00000178741,P20674,COX|COX-VA|VA,cytochrome c oxidase subunit 5A,curated,"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,1.0,MitoDomain,49.0,1.91,OrthologMitoHighConf,NoHomolog,50-75pure
ISCA2,122961,ENSG00000165898,Q86U28,HBLD1|ISA2|MMDS4|c14_5557,iron-sulfur cluster assembly 2,curated,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,1.0,MitoDomain,28.0,1.07,OrthologMitoHighConf,Ortholog,75-100pure
PMPCB,9512,ENSG00000105819,O75439,Beta-MPP|MPP11|MPPB|MPPP52|P-52,"peptidase, mitochondrial processing subunit beta",curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",1.0,MitoDomain,42.0,0.74,OrthologMitoLowConf,Homolog,50-75pure
UQCRFS1,7386,ENSG00000169021,P47985,MC3DN10|RIP1|RIS1|RISP|UQCR5,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,2.0,MitoDomain,48.0,,OrthologMitoHighConf,Ortholog,75-100pure
ATP5F1A,498,ENSG00000152234,P25705,ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1,ATP synthase F1 subunit alpha,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,1.0,SharedDomain,48.0,1.53,OrthologMitoHighConf,Homolog,75-100pure
OGDH,4967,ENSG00000105953,Q02218,AKGDH|E1k|KGD1|OGDC|OGDH2,oxoglutarate dehydrogenase,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,2.0,MitoDomain,46.0,3.07,OrthologMitoLowConf,Homolog,50-75pure
PDHB,5162,ENSG00000168291,P11177,PDHBD|PDHE1-B|PDHE1B|PHE1B,pyruvate dehydrogenase E1 subunit beta,curated,"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,2.0,MitoDomain,47.0,1.67,OrthologMitoLowConf,Homolog,50-75pure
UQCRC2,7385,ENSG00000140740,P22695,MC3DN5|QCR2|UQCR2,ubiquinol-cytochrome c reductase core protein 2,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",2.0,MitoDomain,45.0,1.79,OrthologMitoLowConf,Homolog,50-75pure
SDHD,6392,ENSG00000204370,O14521,CBT1|CII-4|CWS3|PGL|PGL1|QPs3|SDH4|cybS,succinate dehydrogenase complex subunit D,curated,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,3.0,MitoDomain,45.0,2.02,OrthologMitoHighConf,Ortholog,25-50pure
MRPS35,60488,ENSG00000061794,P82673,HDCMD11P|MDS023|MRP-S28|MRPS28,mitochondrial ribosomal protein S35,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,MitoDomain,43.0,1.81,OrthologMitoHighConf,NoHomolog,50-75pure
UQCRQ,27089,ENSG00000164405,O14949,MC3DN4|QCR8|QP-C|QPC|UQCR7,ubiquinol-cytochrome c reductase complex III subunit VII,curated,"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,2.0,MitoDomain,47.0,0.66,OrthologMitoHighConf,NoHomolog,75-100pure
MRPL53,116540,ENSG00000204822,Q96EL3,L53MT,mitochondrial ribosomal protein L53,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,MitoDomain,47.0,0.6,OrthologMitoHighConf,NoHomolog,75-100pure
DBT,1629,ENSG00000137992,P11182,BCATE2|BCKAD-E2|BCKADE2|BCKDH-E2|BCOADC-E2|E2|E2B,dihydrolipoamide branched chain transacylase E2,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,1.0,MitoDomain,34.0,2.32,OrthologMitoLowConf,Homolog,50-75pure
PDK4,5166,ENSG00000004799,Q16654,-,pyruvate dehydrogenase kinase 4,curated,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,2.0,MitoDomain,18.0,1.77,OrthologMitoHighConf,Ortholog,50-75pure
MDH2,4191,ENSG00000146701,P40926,EIEE51|M-MDH|MDH|MGC:3559|MOR1,malate dehydrogenase 2,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,2.0,SharedDomain,50.0,1.54,OrthologMitoHighConf,Homolog,75-100pure
MRPS27,23107,ENSG00000113048,Q92552,MRP-S27|S27mt,mitochondrial ribosomal protein S27,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,1.0,MitoDomain,32.0,1.87,OrthologMitoHighConf,NoHomolog,50-75pure
CS,1431,ENSG00000062485,O75390,-,citrate synthase,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,3.0,SharedDomain,48.0,2.32,OrthologMitoHighConf,Ortholog,50-75pure
GRPEL1,80273,ENSG00000109519,Q9HAV7,GrpE|HMGE|mt-GrpE#1,"GrpE like 1, mitochondrial",curated,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",1.0,MitoDomain,43.0,1.53,HomologMitoLowConf,Homolog,50-75pure
DLAT,1737,ENSG00000150768,P10515,DLTA|E2|PBC|PDC-E2|PDCE2,dihydrolipoamide S-acetyltransferase,curated,"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,4.0,MitoDomain,41.0,2.68,OrthologMitoLowConf,Homolog,50-75pure
LRPPRC,10128,ENSG00000138095,P42704,CLONE-23970|GP130|LRP130|LSFC,leucine rich pentatricopeptide repeat containing,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation,1.0,SharedDomain,47.0,2.59,OrthologMitoHighConf,NoHomolog,75-100pure
DLST,1743,ENSG00000119689,P36957,DLTS|KGD2|PGL7,dihydrolipoamide S-succinyltransferase,curated,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism,2.0,MitoDomain,42.0,1.79,OrthologMitoLowConf,Homolog,25-50pure
PDHX,8050,ENSG00000110435,O00330,DLDBP|E3BP|OPDX|PDHXD|PDX1|proX,pyruvate dehydrogenase complex component X,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,2.0,MitoDomain,41.0,2.28,OrthologMitoLowConf,Homolog,25-50pure
GFM1,85476,ENSG00000168827,Q96RP9,COXPD1|EFG|EFG1|EFGM|EGF1|GFM|hEFG1|mtEF-G1,G elongation factor mitochondrial 1,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Translation factors,2.0,SharedDomain,48.0,2.39,OrthologMitoHighConf,Homolog,50-75pure
MPC2,25874,ENSG00000143158,O95563,BRP44|SLC54A2,mitochondrial pyruvate carrier 2,curated,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,5.0,MitoDomain,41.0,3.21,OrthologMitoHighConf,NoHomolog,75-100pure
NDUFS1,4719,ENSG00000023228|ENSG00000283447,P28331,CI-75Kd|CI-75k|MC1DN5|PRO1304,NADH:ubiquinone oxidoreductase core subunit S1,curated,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,2.0,MitoDomain,47.0,1.65,NoMitoHomolog,Ortholog,75-100pure
MRPL46,26589,ENSG00000259494,Q9H2W6,C15orf4|LIECG2|P2ECSL,mitochondrial ribosomal protein L46,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,1.0,SharedDomain,41.0,3.04,OrthologMitoHighConf,NoHomolog,50-75pure
ATP5F1E,514,ENSG00000124172,P56381,ATP5E|ATPE|MC5DN3,ATP synthase F1 subunit epsilon,curated,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,4.0,MitoDomain,47.0,0.54,OrthologMitoHighConf,NoHomolog,75-100pure
SLC25A3,5250,ENSG00000075415,Q00325,OK/SW-cl.48|PHC|PTP,solute carrier family 25 member 3,curated,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family,4.0,MitoDomain,50.0,1.22,OrthologMitoHighConf,NoHomolog,75-100pure
MRPS23,51649,ENSG00000181610,Q9Y3D9,CGI-138|COXPD46|HSPC329|MRP-S23,mitochondrial ribosomal protein S23,curated,"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,5.0,MitoDomain,45.0,1.37,OrthologMitoHighConf,NoHomolog,75-100pure
FH,2271,ENSG00000091483,P07954,FMRD|HLRCC|HsFH|LRCC|MCL|MCUL1,fumarate hydratase,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,1.0,SharedDomain,47.0,1.71,HomologMitoHighConf,Homolog,75-100pure
PMPCA,23203,ENSG00000165688,Q10713,Alpha-MPP|CLA1|CPD3|INPP5E|P-55|SCAR2,"peptidase, mitochondrial processing subunit alpha",curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",1.0,MitoDomain,27.0,-0.55,OrthologMitoHighConf,Homolog,50-75pure
ATP5F1B,506,ENSG00000110955,P06576,ATP5B|ATPMB|ATPSB|HEL-S-271,ATP synthase F1 subunit beta,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,1.0,SharedDomain,49.0,,OrthologMitoHighConf,Homolog,75-100pure
SDHAF4,135154,ENSG00000154079,Q5VUM1,C6orf57|Sdh8,succinate dehydrogenase complex assembly factor 4,curated,"yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS",Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,4.0,MitoDomain,44.0,1.38,OrthologMitoHighConf,Ortholog,25-50ambig
UQCR10,29796,ENSG00000184076,Q9UDW1,HSPC051|HSPC119|HSPC151|QCR9|UCCR7.2|UCRC,"ubiquinol-cytochrome c reductase, complex III subunit X",curated,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,,MitoDomain,49.0,2.3,OrthologMitoHighConf,NoHomolog,75-100pure
ISCA1,81689,ENSG00000135070,Q9BUE6,HBLD2|ISA1|MMDS5|hIscA,iron-sulfur cluster assembly 1,curated,"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, MS/MS++",Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,2.0,MitoDomain,,1.55,OrthologMitoHighConf,Ortholog,75-100pure
SUCLA2,8803,ENSG00000136143,Q9P2R7,A-BETA|A-SCS|LINC00444|MTDPS5|SCS-betaA,succinate-CoA ligase ADP-forming subunit beta,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,1.0,SharedDomain,39.0,2.1,OrthologMitoLowConf,Homolog,75-100pure
COQ3,51805,ENSG00000132423,Q9NZJ6,DHHBMT|DHHBMTASE|UG0215E05|bA9819.1,"coenzyme Q3, methyltransferase",curated,"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS+",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,2.0,MitoDomain,35.0,0.57,OrthologMitoHighConf,Homolog,25-50pure
IARS2,55699,ENSG00000067704,Q9NSE4,CAGSSS|ILERS,"isoleucyl-tRNA synthetase 2, mitochondrial",curated,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,1.0,SharedDomain,42.0,,OrthologMitoHighConf,Homolog,50-75pure
MRPS15,64960,ENSG00000116898,P82914,DC37|MPR-S15|RPMS15|S15mt,mitochondrial ribosomal protein S15,curated,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,SharedDomain,45.0,,OrthologMitoHighConf,Ortholog,50-75pure
IDH3A,3419,ENSG00000166411,P50213,-,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,curated,"APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,4.0,SharedDomain,40.0,2.98,OrthologMitoHighConf,Homolog,50-75pure
COX11,1353,ENSG00000166260,Q9Y6N1,COX11P,cytochrome c oxidase copper chaperone COX11,curated,"literature, APEX_IMS, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,2.0,MitoDomain,27.0,1.38,OrthologMitoHighConf,Ortholog,50-75ambig
ETFDH,2110,ENSG00000171503,Q16134,ETFQO|MADD,electron transfer flavoprotein dehydrogenase,curated,"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",,MitoDomain,40.0,2.68,OrthologMitoHighConf,NoHomolog,50-75pure
TIMM10,26519,ENSG00000134809,P62072,TIM10|TIM10A|TIMM10A,translocase of inner mitochondrial membrane 10,curated,"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",,MitoDomain,47.0,2.88,OrthologMitoHighConf,NoHomolog,50-75pure
MRPL34,64981,ENSG00000130312,Q9BQ48,L34mt,mitochondrial ribosomal protein L34,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,SharedDomain,47.0,1.75,OrthologMitoHighConf,Ortholog,25-50ambig
MRPL2,51069,ENSG00000112651,Q5T653,CGI-22|MRP-L14|RPML14,mitochondrial ribosomal protein L2,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,3.0,SharedDomain,45.0,0.68,OrthologMitoHighConf,Homolog,50-75pure
BCKDHA,593,ENSG00000248098,P12694,BCKDE1A|MSU|MSUD1|OVD1A,branched chain keto acid dehydrogenase E1 subunit alpha,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS++",MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,1.0,MitoDomain,32.0,,OrthologMitoLowConf,Homolog,50-75pure
UQCRH,7388,ENSG00000173660,P07919,QCR6|UQCR8,ubiquinol-cytochrome c reductase hinge protein,curated,"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,,MitoDomain,43.0,0.94,OrthologMitoHighConf,NoHomolog,75-100pure
HIGD2A,192286,ENSG00000146066,Q9BW72,RCF1b,HIG1 hypoxia inducible domain family member 2A,curated,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly,,MitoDomain,42.0,0.99,OrthologMitoHighConf,NoHomolog,75-100pure
ATP5PO,539,ENSG00000241837,P48047,ATP5O|ATPO|HMC08D05|OSCP,ATP synthase peripheral stalk subunit OSCP,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, MS/MS++",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,2.0,MitoDomain,,1.34,OrthologMitoHighConf,Ortholog,75-100pure
ECHS1,1892,ENSG00000127884,P30084,ECHS1D|SCEH,"enoyl-CoA hydratase, short chain 1",curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++",Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism,1.0,SharedDomain,30.0,0.96,OrthologMitoLowConf,Homolog,75-100pure
LETMD1,25875,ENSG00000050426,Q6P1Q0,1110019O13Rik|HCCR|HCCR-1|HCCR-2|HCCR1|HCCR2|HCRR-2|SLC55A3,LETM1 domain containing 1,curated,"GFP, targetP signal+, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",Membrane,Small molecule transport,1.0,MitoDomain,16.0,2.08,OrthologMitoLowConf,NoHomolog,50-75pure
COX6A1,1337,ENSG00000111775,P12074,CMTRID|COX6A|COX6AL,cytochrome c oxidase subunit 6A1,curated,"literature, targetP signal+, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,1.0,MitoDomain,25.0,1.44,OrthologMitoLowConf,NoHomolog,50-75pure
COX15,1355,ENSG00000014919,Q7KZN9,CEMCOX2,cytochrome c oxidase assembly homolog COX15,curated,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS",MIM,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors,2.0,MitoDomain,41.0,,OrthologMitoHighConf,Ortholog,0-25pure
